Country,Cost of living index
Bermuda,146.0
Switzerland,123.3
Norway,100.9
Iceland,94.9
Barbados,92.4
Jersey,92.0
Israel,88.1
Denmark,84.1
Bahamas,84.0
Singapore,84.0
Guernsey,83.6
Hong Kong,80.7
Luxembourg,80.5
Australia,77.7
Japan,77.0
Ireland,76.1
Netherlands,75.7
New Zealand,74.5
France,74.1
South Korea,73.2
Finland,73.2
Belgium,72.6
Sweden,71.7
Austria,71.0
Canada,70.2
United States,70.1
United Kingdom,69.7
Lebanon,69.6
Malta,67.8
Macao,66.8
Puerto Rico,66.5
Italy,66.5
Seychelles,65.9
Germany,65.6
Qatar,62.8
Taiwan,62.4
Cyprus,59.0
United Arab Emirates,58.3
Palestine,58.1
Maldives,57.7
Greece,56.2
Cuba,55.0
Trinidad And Tobago,54.9
Bahrain,54.8
Slovenia,53.9
Spain,53.9
Estonia,53.7
Yemen,53.1
Uruguay,52.1
Suriname,51.8
Panama,51.4
Belize,51.3
Saudi Arabia,50.4
Senegal,50.2
Jamaica,49.7
Oman,49.4
Jordan,49.2
Cambodia,49.1
Croatia,48.9
Kuwait,48.7
Latvia,48.5
Libya,48.3
Czech Republic,48.2
Portugal,47.9
Ethiopia,47.5
Ivory Coast,47.0
Costa Rica,47.0
Zimbabwe,45.7
Lithuania,45.6
Slovakia,44.7
El Salvador,44.4
Mauritius,44.1
Chile,43.9
Guatemala,43.5
Thailand,43.2
Venezuela,43.2
Fiji,43.2
South Africa,42.1
Dominican Republic,41.8
China,41.8
Hungary,40.7
Honduras,40.5
Botswana,40.2
Nicaragua,39.6
Cameroon,39.5
Poland,39.0
Montenegro,38.9
Bulgaria,38.4
Vietnam,37.5
Iran,37.4
Ecuador,37.3
Philippines,37.1
Malaysia,37.0
Serbia,36.2
Ghana,36.2
Bosnia And Herzegovina,36.1
Indonesia,35.9
Myanmar,35.7
Albania,35.5
Mexico,35.3
Russia,35.3
Romania,35.2
Bolivia,34.8
Mongolia,34.7
Argentina,34.7
Somalia,34.6
Iraq,34.5
Kenya,33.9
Armenia,33.9
Morocco,33.8
Uganda,33.5
Brazil,33.2
Bangladesh,33.1
Zambia,33.0
Tanzania,32.8
Peru,32.5
Rwanda,31.6
North Macedonia,31.4
Sri Lanka,31.3
Belarus,30.9
Ukraine,30.7
Nigeria,30.5
Moldova,30.3
Paraguay,30.2
Georgia,30.2
Azerbaijan,29.7
Egypt,29.5
Syria,28.8
Kazakhstan,28.7
Turkey,28.3
Nepal,28.3
Tunisia,27.9
Uzbekistan,27.3
Kosovo (Disputed Territory),27.1
Algeria,26.9
Colombia,26.7
India,24.4
Afghanistan,20.4
Pakistan,19.9
